age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,study_discipline,risk_score
17,3,2,1,1,3,5,5,5,2,4,5,16,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0.058823529411764705,4.6
16,4,3,1,1,0,3,1,3,1,3,5,4,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,0.2,0.4
15,4,3,1,2,0,4,4,1,1,1,1,0,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,2.0,0.0
15,4,4,1,1,0,5,4,2,1,1,5,0,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,False,1.0,0.0
16,4,2,1,2,0,4,5,1,1,3,5,2,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,0.6666666666666666,0.2
16,2,2,2,2,0,5,4,4,2,4,5,0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,2.0,0.0
15,2,4,1,3,0,4,3,2,1,1,5,2,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,1.0,0.2
16,2,2,1,1,2,1,2,2,1,3,5,14,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,0.06666666666666667,3.4
15,2,2,1,1,0,4,2,2,1,2,5,2,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,0.3333333333333333,0.2
15,4,2,1,1,0,2,2,4,2,4,1,4,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,0.2,0.4
16,3,4,1,2,0,5,3,3,1,1,5,4,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,False,0.4,0.4
16,4,4,1,2,0,4,4,5,5,5,5,16,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,0.11764705882352941,1.6
15,4,4,1,2,0,5,4,2,3,4,5,0,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,2.0,0.0
15,4,4,2,2,0,4,3,1,1,1,5,0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,2.0,0.0
15,4,3,1,2,0,4,5,2,1,1,5,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,2.0,0.0
15,3,3,1,2,0,5,3,2,1,1,2,0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,2.0,0.0
16,3,2,1,1,0,5,4,3,1,1,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,1.0,0.0
15,2,3,2,1,0,3,5,1,1,1,5,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,1.0,0.0
15,4,3,1,3,0,5,4,3,1,1,4,2,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,1.0,0.2
16,4,4,2,3,0,2,4,3,1,1,5,7,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,0.375,0.7
15,3,4,1,3,0,4,3,2,1,1,5,2,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,1.0,0.2
15,2,2,1,1,0,4,3,1,1,1,2,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,0.1111111111111111,0.8
16,2,2,2,2,1,3,3,3,1,2,3,25,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,0.07692307692307693,3.5
15,4,4,1,1,0,5,4,3,2,4,5,8,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,0.1111111111111111,0.8
15,4,4,1,2,0,4,3,3,1,1,5,2,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,0.6666666666666666,0.2
15,2,2,1,1,0,5,4,1,1,1,1,0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,1.0,0.0
16,2,2,2,2,1,4,3,3,2,2,5,14,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,0.13333333333333333,2.4
15,4,3,1,2,0,5,2,2,1,1,5,8,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,0.2222222222222222,0.8
16,3,3,1,2,0,2,3,5,1,4,3,12,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0.15384615384615385,1.2
16,4,3,1,4,0,4,2,2,1,1,2,4,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,False,0.8,0.4
15,4,2,1,2,0,4,3,3,2,2,5,2,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,0.6666666666666666,0.2
15,4,4,1,2,1,4,4,4,1,1,3,2,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,True,False,0.6666666666666666,1.2
16,2,2,3,2,0,4,3,3,2,3,4,2,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,0.6666666666666666,0.2
15,4,2,1,2,0,4,3,3,1,1,5,2,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,0.6666666666666666,0.2
15,4,2,2,1,1,5,5,5,3,4,5,6,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.14285714285714285,1.6
15,4,4,1,1,0,3,3,4,2,3,5,0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,True,True,False,1.0,0.0
15,3,3,1,1,0,5,3,4,4,4,1,6,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,0.14285714285714285,0.6
16,2,1,1,2,0,5,3,4,1,1,2,8,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,0.2222222222222222,0.8
15,4,3,1,2,0,4,3,2,1,1,1,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,2.0,0.0
15,4,4,1,2,0,3,2,2,1,1,5,4,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,0.4,0.4
15,1,2,1,2,0,4,3,2,1,1,5,2,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,0.6666666666666666,0.2
16,4,2,1,2,0,4,2,3,1,1,5,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,0.6666666666666666,0.2
16,4,4,1,2,0,2,4,4,2,3,4,6,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,0.2857142857142857,0.6
16,1,1,4,1,0,5,5,5,5,5,5,6,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,0.14285714285714285,0.6
16,1,2,1,2,0,4,4,3,1,1,1,4,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,False,0.4,0.4
16,4,3,1,3,0,3,4,4,2,4,4,2,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,1.0,0.2
15,4,3,1,2,0,4,4,4,2,4,2,0,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,2.0,0.0
16,4,3,3,2,0,5,4,3,1,2,1,2,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0.6666666666666666,0.2
15,4,4,1,4,0,1,3,3,5,5,3,4,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,0.8,0.4
16,3,1,1,4,0,4,3,3,1,2,5,4,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,0.8,0.4
15,2,2,2,2,0,4,1,3,1,3,4,2,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,False,0.6666666666666666,0.2
15,3,1,2,4,0,4,4,2,2,3,3,12,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,0.3076923076923077,1.2
16,3,1,2,4,0,4,3,2,1,1,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,4.0,0.0
15,4,2,1,4,0,3,3,3,1,1,3,0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,4.0,0.0
15,1,1,1,2,2,3,3,4,2,4,5,2,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,0.6666666666666666,2.2
16,3,1,1,1,0,5,3,2,2,2,5,2,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,0.3333333333333333,0.2
16,3,3,1,2,0,4,3,3,2,4,5,54,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,0.03636363636363636,5.4
15,4,3,1,2,0,4,3,3,2,3,5,6,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False,0.2857142857142857,0.6
15,4,0,2,4,0,3,4,3,1,1,1,8,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,0.4444444444444444,0.8
16,2,2,1,4,0,5,2,3,1,3,3,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,4.0,0.0
17,2,1,2,1,3,4,5,1,1,1,3,2,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True,False,0.3333333333333333,3.2
16,3,4,1,2,0,2,4,3,1,2,3,12,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,0.15384615384615385,1.2
15,2,3,1,1,0,3,2,2,1,3,3,2,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,0.3333333333333333,0.2
15,2,3,1,3,0,5,3,2,1,2,5,4,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,0.6,0.4
15,3,2,1,2,0,4,4,4,1,1,5,10,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False,0.18181818181818182,1.0
15,2,2,2,2,0,5,3,3,1,3,4,4,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,0.4,0.4
15,1,1,1,2,0,4,3,2,2,3,4,2,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,0.6666666666666666,0.2
15,4,4,2,2,2,4,4,4,2,3,5,6,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True,0.2857142857142857,2.6
16,2,2,1,2,0,4,3,4,1,2,2,4,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,0.4,0.4
15,4,2,1,3,0,5,3,3,1,3,1,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.6,0.4
16,2,2,2,2,1,4,4,2,1,1,3,12,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,0.15384615384615385,2.2
16,4,4,1,2,0,4,1,3,3,5,5,18,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,0.10526315789473684,1.8
16,3,3,1,3,0,4,3,3,1,3,4,0,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,3.0,0.0
15,4,3,1,1,0,4,5,5,1,3,1,4,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False,0.2,0.4
16,3,1,1,2,0,3,3,3,2,3,2,4,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,0.4,0.4
16,4,2,2,2,0,5,3,3,1,1,1,0,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True,False,2.0,0.0
15,2,2,1,4,0,4,3,4,1,1,4,6,False,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.5714285714285714,0.6
15,1,1,2,4,1,3,1,2,1,1,1,2,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,1.3333333333333333,1.2
16,4,3,2,1,0,3,3,3,1,1,4,2,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False,True,True,False,0.3333333333333333,0.2
16,2,1,1,2,0,4,3,5,1,1,5,2,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,0.6666666666666666,0.2
16,4,4,1,1,0,5,3,4,1,2,1,6,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,0.14285714285714285,0.6
16,4,3,1,3,0,5,3,5,1,1,3,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,3.0,0.0
16,4,4,1,1,0,4,5,5,5,5,4,14,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,False,0.06666666666666667,1.4
16,4,4,1,3,0,4,4,3,1,1,4,0,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True,3.0,0.0
15,4,4,1,1,0,5,3,3,1,1,5,4,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,0.2,0.4
15,3,2,2,2,0,4,3,5,1,1,2,26,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False,True,True,True,False,0.07407407407407407,2.6
15,3,4,1,2,0,5,4,4,1,1,1,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,2.0,0.0
15,3,3,1,4,0,4,3,3,1,1,4,10,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,0.36363636363636365,1.0
15,2,2,1,4,0,5,1,2,1,1,3,8,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,0.4444444444444444,0.8
16,3,3,1,3,0,5,3,3,1,1,5,2,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,1.0,0.2
15,4,4,4,4,0,1,3,5,3,5,1,6,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,0.5714285714285714,0.6
16,4,4,1,3,0,5,4,5,1,1,4,4,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True,0.6,0.4
15,4,4,1,1,0,5,5,3,1,1,4,6,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,0.14285714285714285,0.6
16,3,3,1,3,1,4,1,2,1,1,2,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,3.0,1.0
16,2,2,1,2,1,3,1,2,1,1,5,6,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,False,0.2857142857142857,1.6
15,4,2,1,1,0,3,5,2,1,1,3,10,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0.09090909090909091,1.0
15,2,1,1,2,0,5,4,2,1,1,5,8,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,0.2222222222222222,0.8
16,4,4,1,2,0,5,4,4,1,2,5,2,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,0.6666666666666666,0.2
15,4,4,2,2,0,4,4,3,1,1,2,2,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,False,False,0.6666666666666666,0.2
16,3,3,2,1,0,5,4,2,1,1,5,0,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,1.0,0.0
17,1,3,3,2,1,5,2,4,1,4,5,20,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,0.09523809523809523,3.0
15,3,4,1,1,0,3,4,3,1,2,4,6,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,0.14285714285714285,0.6
15,1,2,1,2,0,3,2,3,1,2,1,2,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,0.6666666666666666,0.2
15,2,2,1,4,0,5,5,4,1,2,5,6,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,0.5714285714285714,0.6
16,2,4,2,2,0,4,2,2,1,2,5,2,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,0.6666666666666666,0.2
16,4,4,1,1,0,3,4,4,1,4,5,18,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0.05263157894736842,1.8
16,2,2,1,2,0,5,4,4,1,1,5,0,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,2.0,0.0
15,3,4,1,1,0,5,5,5,3,2,5,0,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,1.0,0.0
15,3,4,1,2,0,5,3,2,1,1,1,0,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,True,2.0,0.0
19,0,1,1,2,3,3,4,2,1,1,5,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.6666666666666666,3.2
18,2,2,1,1,2,3,3,3,1,2,4,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,1.0,2.0
16,4,4,1,1,0,3,5,5,2,5,4,8,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False,0.1111111111111111,0.8
15,3,4,2,3,2,4,2,2,2,2,5,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,3.0,2.0
15,1,1,3,1,0,4,3,3,1,2,4,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,1.0,0.0
17,2,2,1,1,0,3,4,4,1,3,5,12,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,0.07692307692307693,1.2
16,3,4,1,1,0,3,2,1,1,4,5,16,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,0.058823529411764705,1.6
15,3,4,4,2,0,5,3,3,1,1,5,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,2.0,0.0
15,4,4,1,3,0,4,3,3,1,1,5,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,3.0,0.0
17,3,4,3,2,0,5,4,5,2,4,5,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,2.0,0.0
16,3,3,2,1,2,4,3,2,1,1,5,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,1.0,2.0
16,1,1,1,2,1,4,4,4,1,3,5,0,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,2.0,1.0
15,4,4,2,1,0,4,3,2,1,1,5,0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,1.0,0.0
15,4,3,2,4,0,2,2,2,1,1,3,0,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,4.0,0.0
16,2,2,2,1,2,2,3,3,2,2,2,8,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,0.1111111111111111,2.8
15,4,4,1,3,0,4,2,2,1,1,5,2,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,True,False,1.0,0.2
16,1,1,1,1,0,3,4,4,3,3,1,2,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0.3333333333333333,0.2
17,2,1,1,1,3,5,4,5,1,2,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,1.0,3.0
15,1,1,1,2,0,4,4,2,1,2,5,0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,2.0,0.0
15,3,2,1,2,3,3,3,2,1,1,3,0,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False,2.0,3.0
15,1,2,1,2,0,4,3,2,1,1,5,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,0.6666666666666666,0.2
16,4,4,1,1,0,3,3,2,2,1,5,0,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,1.0,0.0
15,2,1,4,1,3,4,5,5,2,5,5,0,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,1.0,3.0
18,1,1,1,1,3,2,3,5,2,5,4,0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,1.0,3.0
16,2,1,1,1,1,4,4,4,3,5,5,6,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,0.14285714285714285,1.6
